Designator,Mid X,Mid Y,Rotation,Layer
S67,341.1145,-182.5775,0.0,top
S7,100.60825,-163.5275,0.0,top
S71,350.6395,-125.4275,0.0,top
S72,355.402,-144.4775,0.0,top
S8,124.42075,-163.5275,0.0,top
S9,143.47075,-163.5275,0.0,top
SW1,236.934939,-110.544683,0.0,top
U1,116.48325,-110.818125,0.0,top
U2,192.881777,-111.735309,180.0,top
U3,202.406785,-108.758744,90.0,top
U4,217.247423,-109.991557,90.0,top
Y1,224.09274,-113.016561,270.0,top
